track_id,track_name,track_artist,lyrics,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,tempo,duration_ms,language
0017A6SJgTbfQVU2EtsPNo,Pangarap,Barbie's Cradle,Minsan pa Nang ako'y napalingon Hindi ko alam Na ika'y tutugon Sa mga tanong na aking nabitawan Hindi ko alam kung ito'y totoo Pangarap ka Sa bawat sandali Langit man ang tingin ko Sayo sana'y marating Hanggang dito na lang yata Ang kaya kong gawin Mangarap na lang At bumulong sa hangin Kailan kaya Darating ulit ang isang Sandali Na ako'y lilingon muli Pangarap ka o tinig mong kay lamig Ang iyong mga ngiti na sa akin ay Nakapagbigay pansin (Ikaw ba ay isang pangarap lang) Pangarap ka o tinig mong kay lamig Ang iyong mga ngiti Na sa akin ay Nakapagbigay... Pangarap ka o tinig mong kay lamig Ang iyong mga ngiti Na sa akin ay Nakapagbigay Pangarap ka o tinig mong kay lamig Ang iyong mga ngiti Na sa akin ay Nakapagbigay pansin,41,1srJQ0njEQgd8w4XSqI4JQ,Trip,2001-01-01,Pinoy Classic Rock,37i9dQZF1DWYDQ8wBxd7xt,rock,classic rock,97.091,235440,tl
004s3t0ONYlzxII9PLgU6z,I Feel Alive,Steady Rollin,"The trees, are singing in the wind The sky blue, only as it can be And the angels, smiled at me I saw you, in that lonely bench At half past four, I kissed your soft soft hands and at 6 I kissed your lips and the angels smiled, I thought Hey I feel alive! The park sign, said it was closed And we jumped that fence with no cares at all and we kissed under a tree We danced, under the midnight sun And I loved you, without knowing you at all and we laughed and felt so free and the angels they smiled, I thought Hey, I feel alive!",28,3z04Lb9Dsilqw68SHt6jLB,Love & Loss,2017-11-21,Hard Rock Workout,3YouF0u7waJnolytf9JCXf,rock,hard rock,135.225,373512,en
00chLpzhgVjxs1zKC9UScL,Poison,Bell Biv DeVoe,"NA Yeah, Spyderman and Freeze in full effect Uh-huh You ready, Ron? I'm ready You ready, Biv? I'm ready, Slick, are you? Oh, yeah, break it down NA Girl, I, must (warn you) I sense something strange in my mind Situation is (serious) Let's cure it cause we're running out of time It's oh, so (beautiful) Relationships they seem from the start It's all so (deadly) When love is not together from the heart It's drivin' me out of my mind! That's why it's HARD for me to find Can't get it out of my head! Miss her, kiss her, love her(Wrong move you're dead!) That girl is (poison)...Never trust a big butt and smile That girl is (poison)..(""POISON!!"") NA (-caution) Before I start to meet a fly girl, you know? Cause in some (portions) You'll think she's the best thing in the world She's so - (fly) She'll drive you right out of your mind And steal your heart when you're blind Beware she's schemin', she'll make you think you're dreamin' YOU'LL fall in love and you'll be screamin', demon, HOO.. Poison, deadly, movin' in slow Lookin for a mellow fellow like DeVoe Gettin paid, laid, so better lay low Schemin on house, money, and the whole show The low pro ho she'll be cut like an aaa-FRO See what you're sayin', huh, she's a winner to you But I know she's a loser (How do you know?) Me and the crew used to do her! ""POISON!"" ""POISON!"" ""POISON!"" ""POISON!"" ""POISON!"" ""POISON!"" ""POISON!"" ""POISON! ""POISON!"" ""POISON!"" ""POISON!"" ""POISON! ""POISON!"" ""POISON!"" ""POISON!"" ""POISON! I was at the park, shake, breakin and takin 'em all And that night, I played the wall Checkin' out the fellas, the highs and lows Keepin' one eye open, still clockin' the hoes There was one particular girl that stood out from the rest Poison as can be, the high power chest Michael Biv here and I'm runnin' the show Bell, Biv DeVoe ..now you know! Yo, Slick, blow.. It's drivin' me out of my mind! That's why it's HARD for me to find Can't get it out of my head! Miss her, kiss her, love her(Wrong move you're dead!) That girl is (poison)...Never trust a big butt and smile That girl is (poison)..(""POISON!!"") Yo' fellas, that was my end of.. You know what I'm sayin', Mike? Yeah, B.B.D. in full effect Yo', wassup to Ralph T and Johnny G And I can't forget about my boy, B. Brown And the whole NE crew Poison.. NA",0,6oZ6brjB8x3GoeSYdwJdPc,Gold,2005-01-01,"Back in the day - R&B, New Jack Swing, Swingbeat, RNB..etc.",3a9y4eeCJRmG9p4YKfqYIx,r&b,new jack swing,111.904,262467,en
004s3t0ONYlzxII9PLgU6z,I Feel Alive,Steady Rollin,"The trees, are singing in the wind The sky blue, only as it can be And the angels, smiled at me I saw you, in that lonely bench At half past four, I kissed your soft soft hands and at 6 I kissed your lips and the angels smiled, I thought Hey I feel alive! The park sign, said it was closed And we jumped that fence with no cares at all and we kissed under a tree We danced, under the midnight sun And I loved you, without knowing you at all and we laughed and felt so free and the angels they smiled, I thought Hey, I feel alive!",28,3z04Lb9Dsilqw68SHt6jLB,Love & Loss,2017-11-21,Hard Rock Workout,3YouF0u7waJnolytf9JCXf,rock,hard rock,135.225,373512,en
00chLpzhgVjxs1zKC9UScL,Poison,Bell Biv DeVoe,"NA Yeah, Spyderman and Freeze in full effect Uh-huh You ready, Ron? I'm ready You ready, Biv? I'm ready, Slick, are you? Oh, yeah, break it down NA Girl, I, must (warn you) I sense something strange in my mind Situation is (serious) Let's cure it cause we're running out of time It's oh, so (beautiful) Relationships they seem from the start It's all so (deadly) When love is not together from the heart It's drivin' me out of my mind! That's why it's HARD for me to find Can't get it out of my head! Miss her, kiss her, love her(Wrong move you're dead!) That girl is (poison)...Never trust a big butt and smile That girl is (poison)..(""POISON!!"") NA (-caution) Before I start to meet a fly girl, you know? Cause in some (portions) You'll think she's the best thing in the world She's so - (fly) She'll drive you right out of your mind And steal your heart when you're blind Beware she's schemin', she'll make you think you're dreamin' YOU'LL fall in love and you'll be screamin', demon, HOO.. Poison, deadly, movin' in slow Lookin for a mellow fellow like DeVoe Gettin paid, laid, so better lay low Schemin on house, money, and the whole show The low pro ho she'll be cut like an aaa-FRO See what you're sayin', huh, she's a winner to you But I know she's a loser (How do you know?) Me and the crew used to do her! ""POISON!"" ""POISON!"" ""POISON!"" ""POISON!"" ""POISON!"" ""POISON!"" ""POISON!"" ""POISON! ""POISON!"" ""POISON!"" ""POISON!"" ""POISON! ""POISON!"" ""POISON!"" ""POISON!"" ""POISON! I was at the park, shake, breakin and takin 'em all And that night, I played the wall Checkin' out the fellas, the highs and lows Keepin' one eye open, still clockin' the hoes There was one particular girl that stood out from the rest Poison as can be, the high power chest Michael Biv here and I'm runnin' the show Bell, Biv DeVoe ..now you know! Yo, Slick, blow.. It's drivin' me out of my mind! That's why it's HARD for me to find Can't get it out of my head! Miss her, kiss her, love her(Wrong move you're dead!) That girl is (poison)...Never trust a big butt and smile That girl is (poison)..(""POISON!!"") Yo' fellas, that was my end of.. You know what I'm sayin', Mike? Yeah, B.B.D. in full effect Yo', wassup to Ralph T and Johnny G And I can't forget about my boy, B. Brown And the whole NE crew Poison.. NA",0,6oZ6brjB8x3GoeSYdwJdPc,Gold,2005-01-01,"Back in the day - R&B, New Jack Swing, Swingbeat, RNB..etc.",3a9y4eeCJRmG9p4YKfqYIx,r&b,new jack swing,111.904,262467,en
00emjlCv9azBN0fzuuyLqy,Dumb Litty,KARD,Get up out of my business You don't keep me from turning up 모두 다 여긴 Witness 넌 바른 척하는 Criminal 찔리는 걸 You feel it 너 네가 뭔데 왜 솔직하지 못해 넌 다를 건 대체 뭔데 aye Bad boy 그래 난 Bad boy 생각해 네가 하고픈 대로 That boy 그래 난 That boy 모르면 믿고 싶은 대로 Nothing ‘bout me nada you don't know Nothing ‘bout me not a thing 욕을 하는 이윤 다 있는 거야 나 아닌 너 안에 Cause we Party yeah we party we don't worry ‘bout the drama no Body Everybody 우린 아침까지 Wilding up 신경 쓸건 따로 아 몰라 오늘 다 집어치워 눈치 보지 말고 Volume up up up We go dumb dumb dumb dumb 누가 뭐래도 Litty dumb Litty dumb litty Bang the drum 갈 때까지 Baby stupid Stupid dumb dumb dumb dumb 누가 뭐래도 Litty dumb Litty dumb litty Bang the drum 갈 때까지 Baby we go 몰입하니 눈 몰리는 이치 시시콜콜 무료함을 완충해 내키면 곧장 Dumb litty 이 노래가 흐름 Come get it Drippin' 여기 주도권을 Grip than 거리낌 허물어 Let's go party 돌변함은 때 때에 따라 아무렴 어때 까무러치게 더불어 즐겨 사는 거지 My way follow nobody Party yeah we party we don't worry ‘bout the drama no Body Everybody 우린 아침까지 Wilding up 신경 쓸건 따로 아 몰라 오늘 다 집어치워 터지게 더 올려 Volume up up up We go dumb dumb dumb dumb 누가 뭐래도 Litty dumb Litty dumb litty Bang the drum 갈 때까지 Baby stupid Stupid dumb dumb dumb dumb 누가 뭐래도 Litty dumb Litty dumb litty Bang the drum 갈 때까지 Baby we go 숨이 차올라 내 심장을 죄여 이젠 풀어 나의 사슬 And I wake up 오늘 밤 지나 해가 뜰 때까지 계속 Up (Go dumb) 내일 일은 내일 uh 끝이 난 듯 저질러 We go dumb dumb dumb dumb 누가 뭐래도 Litty dumb Litty dumb litty Bang the drum 갈 때까지 Baby stupid Stupid dumb dumb dumb dumb 누가 뭐래도 Litty dumb Litty dumb litty Bang the drum 갈 때까지 Baby we go Litty dumb litty Bang the drum 갈 때까지 Baby we go,65,7h5X3xhh3peIK9Y0qI5hbK,KARD 2nd Digital Single ‘Dumb Litty’,2019-09-22,K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop,130.018,193160,en
00f9VGHfQhAHMCQ2bSjg3D,Soldier,James TW,"Hold your breath, don't look down, keep trying Darling, it's okay to be scared, it's frightening At times it just feels like the world is trying hard to knock us down But there's a reason that we're still here but no one else is around How we've grown Every single day I'm proud I swear, I won't Let anything stop us now I'm not a soldier But I'll fight through our darkest of days Get on my shoulders And I'll carry you all of the way'Cause there's no life worth living in If you're not with me in it I'm not a soldier But you make me wanna be brave Yeah, you do Through the depths of despair, we've stumbled And all that distance between us, we've crumbled We've ignored all of the rumours and jealous disapprovals And we've come out the other side with something beautiful Oh, how we've grown Every single day I'm proud And now I know There's nothing that can stop us now I'm not a soldier But I'll fight through our darkest of days Get on my shoulders And I'll carry you all of the way 'Cause there's no life worth living in If you're not with me in it I'm not a soldier But you make me wanna be brave Yeah, you do Only we know where we're going Every day we're gonna keep on growing Learning from the tears and the mistakes We're not perfect but we've come such a long way As long as I got you by my side I know what I wanna do in this life One day when our kids fall in love We can tell them that the odds were against us I'm not a soldier But I'll fight through our darkest of days Get on my shoulders And I'll carry you all of the way, woo-ooh 'Cause there's no life worth living in If you're not with me in it I'm not a soldier (Soldier) But you make me wanna be brave Yeah, you do Yeah, you do, yeah, you do But you make me wanna be brave Yeah, you do Oh yeah, you do",70,3GNzXsFbzdwM0WKCZtgeNP,Chapters,2019-04-26,urban contemporary,4WiB26kw0INKwbzfb5M6Tv,r&b,urban contemporary,147.764,224720,en
00FROhC5g4iJdax5US8jRr,Satisfy You,Diddy,"All I want is somebody who's gonna love me for me Somebody I can love for them All this money don't mean shit If you ain't got nobody to share it with Love rules the world, you feel me He don't understand you like I do No he'll never make love to you like I do So give it to me Cause I can show you 'bout a real love And I can promise anything that I do Is just to satisfy you When it hurt I ease the pain girl, caress your frame Get them worries off your brain girl, I'm in your corner Do what you want, it's your thing girl, I persist and try but We one in the same girl, it ain't a game So I can't play with you, I wanna lay with you Stay with you, pray with you, grow old and gray with you In good and bad times, we'll always make it through Cause what we got is true, no matter what they say to you I could straight lace you, not just appearance Stimulate your mind, strengthen your spirits Be that voice of reason when you ain't tryna hear it You want it but you fear it, but you love it when you near it Sit her on the sofa, get a little closer Touch you right, do it like a man's suppose to Knew you was the one, that's why I chose you Cause you get down for yours and ride like a soldier Your soul ain't a toy, you ain't dealin' with a boy Feel emptiness inside? I can fill that void When you spend time with your woman and listen It shines more than any baguette diamond can glisten I can't impress you with the cars and the wealth Cause any woman with will and drive can get it herself I'd rather show you it's heartfelt, make your heart melt And prove to you you're more important than anything else Worthwhile, special like my first child When I see your face it's always like the first time Our eyes met, I knew we'd be together in a tri-jet I wanna give you things that I didn't buy yet Hold you, mold you, don't know, let me show you Ain't no tellin' what we could grow to Let it be known, I told you And I'mma be there for whatever you go through, my love's true Don't let him sing you a sad song (No baby) Waiting for love like this too long (You don't have to wait, you don't have to wait on him, baby) All that you need I can give you (You don't have to wait, you don't have to wait on) I do, satisfy you (You don't have to wait on him) I'm the light when you can't see I'm that air when you can't breathe I'm that feeling when you can't leave Some doubt, some believe, some lie, cheat, and deceive So it's only you and me When you weak, I'll make you strong, here's where you belong I ain't perfect, but I promise I won't do you wrong Keep you away from harm, my love is protected I'll wrap you in my arms so you'll never feel neglected I'll just make you aware of what we have is rare In the moment of despair, I'm the courage when you're scared Loyal, down for you, soon as I saw you Wanted to be there cause I could hold it down for you Be around for you, plant seeds in the soil Make love all night, bending bed coils You're a queen, therefore I treat you royal This is all for you, cause I simply adore you until fade This one right here goes out to all my sisters",52,2dHr0LpUe6CNV5lNsr8x0W,Forever,1999-08-24,"Swingbeat (old skool), New Jack Swing, R&B, Hip Hop, Urban",3krpccUV68nBGAQbvHEZDC,r&b,new jack swing,87.26100000000002,286441,en
00GfGwzlSB8DoA0cDP2Eit,Tender Lover,Babyface,"Feels good Everybody Tender lover Tender love Eleanor Rigby spends half her life All alone No fault of her own Made a decision Love has no place in her home Love It has a right to go Love has no limit If you believe in love It'll open up so Don't even give in 'Cause if it starts to give Just hold on We didn't didn't make it But love'll get you by If you only try Just don't give up on love 'Cause it didn't work out this time Tender lover Girl, I'm so sorry Well I never meant to hurt you I never meant to break your heart Tender love So broken hearted Well I never meant to break your Break your little tender heart Don't ever give up in spite of our love Love is much too precious It's greater than both of us There's more than enough Keep looking for love Just be a believer It'll give you what you want Sky is the limit If you believe in love It'll open up so Don't ever give in 'Cause if it starts to give Just hold on We didn't Didn't make it But love'll get you by If you only try Just don't give up on love 'Cause it didn't work out this time My tender lover Tender lover Tender love NA",36,51fAXJ5bMn7DRSunXQ6PMb,Tender Lover,1989-07-07,New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing,102.459,259267,en
00Gu3RMpDW2vO9PjlMVFDL,Hide Away (feat. Envy Monroe),Blasterjaxx,"Don't run away, it's getting colder Our hearts unite, we're getting closer You and I can be anything Kings and queens, just hold on to me Up we go, let's dance away Until we up and go This is how we play When we go up and go We're never gonna stop We're never gonna stop Don't you take this night away I can be your hideaway We our lovers 'til the end If you let me inside again If you're holding the clouds I promise I will stay Don't you take this night away I can be I can be your hideaway I'm looking out for a moment Counting stars over and over I believe we can be anything Kings and queens if you hold on to me Up we go, let's dance away Until we up and go This is how we play When we go up and go We're never gonna stop We're never gonna stop Don't you take this night away I can be your hideaway We our lovers 'til the end If you let me inside again If you're holding the clouds I promise I will stay Don't you take this night away I can be I can be your hideaway I can be your hideaway Don't run away, it's getting colder Our hearts unite, we're getting closer You and I can be anything Kings and queens, just hold on to me Up we go, let's dance away Until we up and go This is how we play When we go up and go We're never gonna stop We're never gonna stop Don't you take this night away I can be your hideaway We our lovers 'til the end If you let me inside again If you're holding the clouds I promise I will stay Don't you take this night away I can be I can be your hideaway I'm looking out for a moment Counting stars over and over I believe we can be anything Kings and queens if you hold on to me Up we go, let's dance away Until we up and go This is how we play When we go up and go We're never gonna stop We're never gonna stop Don't you take this night away I can be your hideaway We our lovers 'til the end If you let me inside again If you're holding the clouds I promise I will stay Don't you take this night away I can be I can be your hideaway I can be your hideaway",42,5pqG85igfoeWcCDIsSi9x7,Hide Away (feat. Envy Monroe),2019-06-21,Big Room EDM - by Spinnin' Records,7xWdFCrU5Gka6qp1ODrSdK,edm,big room,130.001,188000,en
